"(PDH-CSV 4.0) (","\\INSWAVE\process(W-Gear(Swing))\Working Set - Private","\\INSWAVE\process(W-BrowserUpdate)\Working Set - Private","\\INSWAVE\process(W-Browser#4)\Working Set - Private","\\INSWAVE\process(W-Browser#3)\Working Set - Private","\\INSWAVE\process(W-Browser#2)\Working Set - Private","\\INSWAVE\process(W-Browser#1)\Working Set - Private","\\INSWAVE\process(W-Browser)\Working Set - Private","\\INSWAVE\memory\Available Bytes"
"05/11/2017 17:24:32.852","5791744","7028736","276058112","8744960","47865856","1536000","22831104","641933312"
"05/11/2017 17:24:37.866","5791744","7028736","248664064","8744960","39747584","1536000","21987328","669593600"
"05/11/2017 17:24:42.869","5791744","7028736","253714432","8744960","39481344","1536000","21987328","666705920"
"05/11/2017 17:24:47.882","5791744","7028736","259059712","8744960","39477248","1544192","22831104","663973888"
"05/11/2017 17:24:52.885","5791744","7028736","260423680","8744960","46292992","1544192","22831104","655020032"
"05/11/2017 17:24:57.897","5791744","7028736","271777792","8744960","39743488","1544192","21987328","646295552"
"05/11/2017 17:25:02.911","5791744","7028736","263335936","8744960","45506560","1544192","21987328","651608064"
"05/11/2017 17:25:07.926","5791744","7028736","267321344","8744960","39481344","1544192","23166976","647630848"
"05/11/2017 17:25:12.929","5791744","7028736","262819840","8744960","41586688","1544192","23166976","648278016"
"05/11/2017 17:25:17.944","5791744","7028736","256962560","8744960","39489536","1544192","22716416","654954496"
"05/11/2017 17:25:22.949","5791744","7028736","259846144","8744960","39735296","1544192","22716416","659554304"
"05/11/2017 17:25:27.968","5795840","7028736","258400256","8744960","39743488","1544192","22716416","657817600"
"05/11/2017 17:25:32.970","5795840","7028736","260067328","8744960","47865856","1544192","22716416","651075584"
"05/11/2017 17:25:37.984","5795840","7028736","273391616","8744960","46829568","1544192","22716416","635494400"
"05/11/2017 17:25:42.987","5795840","7028736","272502784","8744960","39473152","1544192","22716416","648822784"
"05/11/2017 17:25:48.002","5857280","7028736","264531968","8744960","39485440","1544192","22716416","652369920"
"05/11/2017 17:25:53.005","5795840","7028736","266092544","8744960","42098688","1544192","22716416","652435456"
"05/11/2017 17:25:58.035","5795840","7028736","275730432","8744960","45252608","1544192","22716416","636211200"
"05/11/2017 17:26:03.039","5795840","7028736","279142400","8744960","39739392","1544192","22716416","643588096"
"05/11/2017 17:26:08.052","5799936","7028736","257105920","8744960","40005632","1544192","22716416","659238912"
"05/11/2017 17:26:13.055","5791744","7028736","258863104","8744960","39735296","1544192","22716416","661327872"
"05/11/2017 17:26:18.093","5791744","7028736","268296192","8744960","41054208","1544192","22716416","647745536"
"05/11/2017 17:26:23.097","5791744","7028736","273350656","8744960","39477248","1544192","22716416","647692288"
"05/11/2017 17:26:28.117","5791744","7028736","270798848","8744960","40787968","1544192","22716416","646926336"
"05/11/2017 17:26:33.121","5791744","7028736","259162112","8744960","43409408","1544192","22716416","656670720"
"05/11/2017 17:26:38.134","5791744","7028736","259760128","8744960","46030848","1544192","22716416","651317248"
"05/11/2017 17:26:43.138","5791744","7028736","274321408","8744960","39485440","1544192","22716416","641404928"
"05/11/2017 17:26:48.189","5791744","7028736","275542016","8744960","43073536","1544192","22716416","639807488"
"05/11/2017 17:26:53.228","5795840","7028736","281288704","8744960","39661568","1544192","22716416","639975424"
"05/11/2017 17:26:58.242","5795840","7028736","267915264","8744960","46481408","1544192","22716416","643850240"
"05/11/2017 17:27:03.245","5795840","7028736","265424896","8744960","39407616","1544192","22773760","646881280"
"05/11/2017 17:27:08.262","5795840","7028736","267964416","8744960","44654592","1544192","22773760","642424832"
"05/11/2017 17:27:13.266","5795840","7028736","269348864","8744960","39669760","1544192","22773760","647528448"
"05/11/2017 17:27:18.286","5795840","7028736","271454208","8744960","47271936","1544192","22773760","637534208"
"05/11/2017 17:27:23.290","5795840","7028736","282079232","8744960","39673856","1544192","22773760","631930880"
"05/11/2017 17:27:28.317","5795840","7028736","284622848","8744960","44130304","1544192","22773760","627023872"
"05/11/2017 17:27:33.359","5898240","7028736","264491008","8744960","39673856","1544192","22773760","646938624"
"05/11/2017 17:27:38.375","5898240","7028736","267513856","8744960","47534080","1544192","22773760","638418944"
"05/11/2017 17:27:43.378","5898240","7028736","277901312","8744960","39415808","1544192","22777856","633389056"
"05/11/2017 17:27:48.392","5898240","7028736","280625152","8744960","39403520","1544192","22777856","636493824"
"05/11/2017 17:27:53.396","5853184","7028736","265998336","8744960","39673856","1544192","22777856","644096000"
"05/11/2017 17:27:58.412","5791744","7028736","269074432","8744960","45965312","1544192","22777856","637227008"
"05/11/2017 17:28:03.416","5791744","7028736","280739840","8744960","42819584","1544192","22777856","627019776"
"05/11/2017 17:28:08.433","5791744","7028736","281382912","8744960","39669760","1544192","22777856","634757120"
"05/11/2017 17:28:13.437","5853184","7028736","281649152","8744960","39673856","1544192","23044096","630730752"
"05/11/2017 17:28:18.457","5791744","7028736","287547392","8744960","40452096","1544192","23044096","629395456"
"05/11/2017 17:28:23.463","5791744","7028736","295845888","8744960","44916736","1544192","22818816","610365440"
"05/11/2017 17:28:28.485","5791744","7028736","299270144","8744960","39407616","1544192","22818816","617816064"
"05/11/2017 17:28:33.490","5849088","7028736","270020608","8744960","39936000","1544192","22790144","640888832"
"05/11/2017 17:28:38.505","5787648","7028736","271286272","8744960","40452096","1544192","22790144","644501504"
"05/11/2017 17:28:43.508","5787648","7028736","282357760","8744960","46489600","1544192","22790144","624472064"
"05/11/2017 17:28:48.526","5787648","7028736","285331456","8744960","39407616","1544192","22790144","631865344"
"05/11/2017 17:28:53.564","5795840","7028736","283570176","8744960","39411712","1544192","22724608","630435840"
"05/11/2017 17:28:58.617","5791744","7028736","274432000","8744960","40189952","1544192","22724608","641613824"
"05/11/2017 17:29:03.620","5791744","7028736","289570816","8744960","46489600","1544192","22724608","617603072"
"05/11/2017 17:29:08.634","5791744","7028736","287825920","8744960","39411712","1544192","22724608","624361472"
"05/11/2017 17:29:13.637","5791744","7028736","300077056","8744960","39673856","1544192","22724608","614916096"
"05/11/2017 17:29:18.651","5791744","7028736","294273024","8744960","41766912","1544192","22724608","619397120"
"05/11/2017 17:29:23.675","5791744","7028736","302600192","8744960","45445120","1544192","22786048","605331456"
"05/11/2017 17:29:28.691","5791744","7028736","272273408","8744960","39411712","1544192","22786048","639971328"
"05/11/2017 17:29:33.695","5791744","7028736","279031808","8744960","39411712","1544192","22855680","633180160"
"05/11/2017 17:29:38.711","5791744","7028736","280444928","8744960","45436928","1544192","22855680","627699712"
"05/11/2017 17:29:43.715","5791744","7028736","280522752","8744960","47534080","1544192","22855680","627560448"
"05/11/2017 17:29:48.732","5791744","7028736","290893824","8744960","39673856","1548288","22855680","621498368"
"05/11/2017 17:29:53.736","5791744","7028736","287891456","8744960","39419904","1548288","22855680","622039040"
"05/11/2017 17:29:58.751","5791744","7028736","279748608","8744960","42557440","1548288","22855680","632242176"
"05/11/2017 17:30:03.754","5791744","7028736","281497600","8744960","44388352","1548288","22855680","629485568"
"05/11/2017 17:30:08.768","5791744","7028736","295198720","8744960","39682048","1548288","22855680","615276544"
"05/11/2017 17:30:13.773","5791744","7028736","289275904","8744960","39411712","1548288","22855680","621744128"
"05/11/2017 17:30:18.788","5791744","7028736","277843968","8744960","40718336","1548288","22859776","634306560"
"05/11/2017 17:30:23.791","5791744","7028736","279572480","8744960","46747648","1548288","22859776","628244480"
"05/11/2017 17:30:28.806","5791744","7028736","292773888","8744960","39411712","1548288","22859776","618078208"
"05/11/2017 17:30:33.809","5791744","7028736","286797824","8744960","39411712","1548288","22798336","624676864"
"05/11/2017 17:30:38.845","5906432","7028736","276996096","8744960","39411712","1548288","22798336","637374464"
"05/11/2017 17:30:43.848","5906432","7028736","278392832","8744960","45174784","1548288","22798336","631070720"
"05/11/2017 17:30:48.862","5906432","7028736","292937728","8744960","39673856","1548288","22798336","617074688"
"05/11/2017 17:30:53.865","5906432","7086080","288497664","8744960","41508864","1548288","22798336","620912640"
"05/11/2017 17:30:58.879","5795840","7086080","292257792","8744960","39411712","1548288","22798336","621912064"
"05/11/2017 17:31:03.882","5795840","7086080","287813632","8744960","42029056","1548288","22798336","620851200"
"05/11/2017 17:31:08.895","5795840","7086080","297660416","8744960","42115072","1548288","22798336","603074560"
"05/11/2017 17:31:13.922","5795840","7086080","298430464","8744960","42098688","1548288","22798336","609460224"
"05/11/2017 17:31:18.945","5795840","7086080","298373120","8744960","41848832","1548288","23244800","604991488"
"05/11/2017 17:31:23.948","5795840","7086080","299622400","8744960","48918528","1548288","23244800","601690112"
"05/11/2017 17:31:28.964","5795840","7086080","307834880","8744960","39747584","1548288","22798336","599109632"
"05/11/2017 17:31:33.969","5795840","7086080","292536320","8744960","39739392","1548288","22798336","616857600"
"05/11/2017 17:31:38.998","5795840","7086080","297730048","8744960","40009728","1548288","23244800","605818880"
"05/11/2017 17:31:44.001","5795840","7086080","301043712","8744960","41840640","1548288","23244800","599035904"
"05/11/2017 17:31:49.014","5795840","7086080","279347200","8744960","42115072","1548288","22798336","609234944"
"05/11/2017 17:31:54.018","5795840","7086080","282337280","8744960","39739392","1548288","22798336","616128512"
"05/11/2017 17:31:59.034","5795840","7028736","288067584","8744960","39747584","1548288","23244800","604471296"
"05/11/2017 17:32:04.037","5795840","7028736","290131968","8744960","46297088","1548288","23244800","598192128"
"05/11/2017 17:32:09.050","5795840","7028736","298012672","8744960","40017920","1548288","22798336","593162240"
"05/11/2017 17:32:14.053","5795840","7028736","294584320","8744960","40001536","1548288","22798336","602398720"
"05/11/2017 17:32:19.068","5795840","7028736","299192320","8744960","39747584","1548288","23244800","592162816"
"05/11/2017 17:32:24.071","5795840","7028736","302477312","8744960","40787968","1548288","23244800","593100800"
"05/11/2017 17:32:29.085","5795840","7028736","310267904","8744960","41058304","1548288","22859776","578482176"
"05/11/2017 17:32:34.088","5795840","7028736","297869312","8744960","39743488","1548288","22859776","595279872"
"05/11/2017 17:32:39.103","5857280","7028736","303517696","8744960","39485440","1548288","23306240","586096640"
"05/11/2017 17:32:44.106","5795840","7028736","306860032","8744960","40267776","1548288","23306240","587075584"
"05/11/2017 17:32:49.146","5795840","7028736","314929152","8744960","42106880","1548288","22863872","576561152"
"05/11/2017 17:32:54.151","5795840","7028736","287961088","8744960","40013824","1548288","22863872","604106752"
"05/11/2017 17:32:59.167","5746688","7028736","301338624","8744960","39747584","1548288","23310336","588111872"
"05/11/2017 17:33:04.170","5795840","7028736","296452096","8744960","40529920","1548288","23310336","598364160"
"05/11/2017 17:33:09.184","5795840","7028736","312627200","8744960","39751680","1548288","22863872","578338816"
"05/11/2017 17:33:14.204","5795840","7028736","308817920","8744960","39747584","1548288","22863872","583962624"
"05/11/2017 17:33:19.218","5795840","7028736","307081216","8744960","40009728","1548288","23310336","581603328"
"05/11/2017 17:33:24.221","5795840","7028736","296349696","8744960","40792064","1548288","23310336","595791872"
"05/11/2017 17:33:29.234","5795840","7028736","311726080","8744960","41586688","1548288","22863872","575537152"
"05/11/2017 17:33:34.237","5795840","7028736","305381376","8744960","39747584","1548288","22798336","584540160"
